pmid,doi,title,pdf_filename,notes
PMID:34702270,10.1186/s12931-021-01867-w,Association between particulate matter containing EPFRs and neutrophilic asthma through AhR and Th17.,Harding_2021_V59HS8JR.pdf,from Zotero (resolved from DOI)
PMID:34736257,10.1159/000519702,PM2.5 Upregulates the Expression of MUC5AC via the EGFR-PI3K Pathway in Human Sinonasal Epithelial Cells,Jiao_2022_SP4AN8TS.pdf,from Zotero (resolved from DOI)
PMID:35453536,10.3390/biomedicines10040786,lnc-IL7R Expression Reflects Physiological Pulmonary Function and Its Aberration Is a Putative Indicator of COPD.,Bamodu_2022_WCG5UC2U.pdf,from Zotero (resolved from DOI)
PMID:36076291,10.1186/s12931-022-02162-y,"Wood smoke exposure affects lung aging, quality of life, and all-cause mortality in New Mexican smokers.",Leng_2022_HQAYCDKG.pdf,from Zotero (resolved from DOI)
PMID:36608946,10.1016/S2542-5196(22)00302-3,Associations between outdoor air pollutants and non-viral asthma exacerbations and airway inflammatory responses in children and adolescents living in urban  areas in the USA: a retrospective secondary analysis.,Altman_2023_T8G8WT28.pdf,from Zotero (resolved from DOI)
PMID:37809009,10.3389/fpubh.2023.1229820,The impact of the synergistic effect of SO(2) and PM(2.5)/PM(10) on obstructive lung disease in subtropical Taiwan.,Chen_2023_QND8UHFU.pdf,from Zotero (resolved from DOI)
PMID:38178075,10.1186/s12931-023-02623-y,Fine particulate matter contributes to COPD-like pathophysiology: experimental evidence from rats exposed to diesel exhaust particles.,Fang_2024_789E57MA.pdf,from Zotero (resolved from DOI)
PMID:38480609,10.1007/s00420-024-02055-1,Effects of occupational exposure to metal fume PM(2.5) on lung function and biomarkers among shipyard workers: a 3-year prospective cohort study.,Tran_2024_FV6VRUNH.pdf,from Zotero (resolved from DOI)
PMID:38809424,10.18632/aging.205785,Effects of PM2.5 on mucus hypersecretion in airway through miR-133b-5p/EGFR/Claudin1/MUC5AC axis,Chen_2024_2QGUDQ9Y.pdf,from Zotero (resolved from DOI)
PMID:38892239,10.3390/ijms25116051,Molecular Mechanisms of N-Acetylcysteine in RSV Infections and Air Pollution-Induced Alterations: A Scoping Review.,Wrotek_2024_3WUYPC4Q.pdf,from Zotero (resolved from DOI)
PMID:39113893,10.7150/ijms.96777,PM2.5 Exposure Inhibits Transepithelial Anion Short-circuit Current by Downregulating P2Y2 Receptor/CFTR Pathway,Liu_2024_UX2RGJ3P.pdf,from Zotero (resolved from DOI)
PMID:39199248,10.3390/antiox13081003,Photobiomodulation Mitigates PM(2.5)-Exacerbated Pathologies in a Mouse Model of Allergic Asthma.,Park_2024_B2ITN4R6.pdf,from Zotero (resolved from DOI)
PMID:39031246,10.1007/s12013-024-01433-3,Dynamics of Inflammatory and Pathological Changes Induced by Single Exposure of Particulate Matter (PM2.5) in Mice: Potential Implications in COPD,Chandel_2024_8BEV7MST.pdf,from Zotero (resolved from DOI)
PMID:39492664,10.1080/07853890.2024.2422051,Prenatal exposure to ambient fine particulate matter and child lung function in the CANDLE cohort.,Sherris_2024_PI8XIK34.pdf,from Zotero (resolved from DOI)
PMID:39578555,10.1038/s44321-024-00175-2,"The role of PM2.5 exposure in lung cancer: mechanisms, genetic factors, and clinical implications.",Chen_2025_KD5BKKH4.pdf,from Zotero (resolved from DOI)
PMID:39877635,10.22038/ijbms.2024.80242.17374,Effect of the S100A9/AMPK pathway on PM2.5-mediated mouse lung injury.,Li_2025_NB2SLV9N.pdf,from Zotero (resolved from DOI)
PMID:40889519,10.1080/01902148.2025.2536484,PM2.5 induces ferroptosis in chronic obstructive pulmonary diseases via the GSK-3β/NRF2 pathway.,Ye_2025_NQJ6PJ47.pdf,from Zotero (resolved from DOI)
PMID:39819386,10.1186/s12989-025-00618-9,Pro-inflammatory effects of inhaled Great Salt Lake dust particles.,Cowley_2025_8TGSG3I9.pdf,from Zotero (resolved from DOI)
