pmid,doi,title,pdf_filename,notes
PMID:21855310,10.1016/j.rmed.2011.08.003,Short-term effects of air pollution from biomass burning in mucociliary clearance of Brazilian sugarcane cutters.,Ferreira_Ceccato_2011_HXBCPYYQ.pdf,from Zotero (resolved from DOI)
PMID:21967814,10.1016/j.ajpath.2011.08.008,Diesel exhaust particulates exacerbate asthma-like inflammation by increasing CXC chemokines.,Kim_2011_WQTSMLU4.pdf,from Zotero (resolved from DOI)
PMID:22792237,10.1371/journal.pone.0040175,Different genes interact with particulate matter and tobacco smoke exposure in affecting lung function decline in the general population.,Curjuric_2012_4NF9GSUP.pdf,from Zotero (resolved from DOI)
PMID:22973232,10.3389/fphys.2012.00342,Effects of second hand smoke on airway secretion and mucociliary clearance.,Liu_2012_HRDSLRUM.pdf,from Zotero (resolved from DOI)
PMID:23228165,10.1186/1743-8977-9-48,Carbon nanoparticles induce ceramide- and lipid raft-dependent signalling in lung epithelial cells: a target for a preventive strategy against  environmentally-induced lung inflammation.,Peuschel_2012_GXXL64B4.pdf,from Zotero (resolved from DOI)
PMID:23777718,10.5539/gjhs.v5n4p28,"Relationship between household air pollution from biomass smoke exposure, and pulmonary dysfunction, oxidant-antioxidant imbalance and systemic inflammation in  rural women and children in Nigeria.",Oluwole_2013_2X8JVBVD.pdf,from Zotero (resolved from DOI)
PMID:23856009,10.1186/1743-8977-10-29,Maternal exposure to combustion generated PM inhibits pulmonary Th1 maturation and concomitantly enhances postnatal asthma development in offspring.,Wang_2013_9F7F26GR.pdf,from Zotero (resolved from DOI)
PMID:24025094,10.1186/1476-069X-12-78,Chronic exposure to emissions from photocopiers in copy shops causes oxidative stress and systematic inflammation among photocopier operators in India.,Elango_2013_R3M8KZBY.pdf,from Zotero (resolved from DOI)
PMID:24376700,10.1371/journal.pone.0083429,Attenuation of cigarette smoke-induced airway mucus production by hydrogen-rich saline in rats.,Ning_2013_88AIBSYW.pdf,from Zotero (resolved from DOI)
PMID:25000149,10.3390/ijerph110706871,Respiratory effects of fine and ultrafine particles from indoor sources--a randomized sham-controlled exposure study of healthy volunteers.,Soppa_2014_QMGF77IG.pdf,from Zotero (resolved from DOI)
PMID:24488569,10.1183/09031936.00132213,Association of ambient air pollution with the prevalence and incidence of COPD.,Schikowski_2014_IAD24XNU.pdf,from Zotero (resolved from DOI)
PMID:25512042,10.1186/1476-069X-13-112,Vascular and lung function related to ultrafine and fine particles exposure assessed by personal and indoor monitoring: a cross-sectional study.,Olsen_2014_XQZSH6VU.pdf,from Zotero (resolved from DOI)
PMID:26294199,10.13075/ijomeh.1896.00370,Preliminary study to explore gene-PM2.5 interactive effects on respiratory system in traffic policemen.,Zhao_2015_YKUPVXHG.pdf,from Zotero (resolved from DOI)
PMID:25641363,10.1038/srep08163,Cigarette smoke alters primary human bronchial epithelial cell differentiation at the air-liquid interface.,Schamberger_2015_DA2D5ZBT.pdf,from Zotero (resolved from DOI)
PMID:26066648,10.1371/journal.pone.0129897,Airway Surface Dehydration Aggravates Cigarette Smoke-Induced Hallmarks of COPD in Mice.,Seys_2015_ALGPGPR8.pdf,from Zotero (resolved from DOI)
PMID:26598085,10.6061/clinics/2015(10)09,Chemical composition modulates the adverse effects of particles on the mucociliary epithelium.,Carvalho_Oliveira_2015_KKVG5KFW.pdf,from Zotero (resolved from DOI)
PMID:26187234,10.1016/j.jaci.2015.05.028,"Ambient air pollution, lung function, and airway responsiveness in asthmatic children.",Ierodiakonou_2016_2WUASDU5.pdf,from Zotero (resolved from DOI)
PMID:27711222,10.1371/journal.pone.0163225,Association between Traffic Air Pollution and Reduced Forced Vital Capacity: A Study Using Personal Monitors for Outdoor Workers.,Santos_2016_49RGBYEM.pdf,from Zotero (resolved from DOI)
PMID:28615020,10.1186/s12940-017-0271-z,Short-term air pollution exposure decreases lung function: a repeated measures study in healthy adults.,Int_Panis_2017_HL634JPW.pdf,from Zotero (resolved from DOI)
PMID:28617349,10.3390/ijerph14060641,Investigation of Acute Pulmonary Deficits Associated with Biomass Fuel Cookstove Emissions in Rural Bangladesh.,Medgyesi_2017_PC8VRHZC.pdf,from Zotero (resolved from DOI)
PMID:28439091,10.1038/ijo.2017.97,Abdominal adiposity intensifies the negative effects of ambient air pollution on lung function in Korean men.,Kim_2017_QZNPFB6P.pdf,from Zotero (resolved from DOI)
PMID:28522562,10.1152/ajplung.00322.2016,Estrogen and cigarette sidestream smoke particulate matter exhibit ERα-dependent tumor-promoting effects in lung adenocarcinoma cells.,Kuo_2017_EHWB5D3S.pdf,from Zotero (resolved from DOI)
PMID:28894207,10.1038/s41598-017-11541-1,Positive feedback of the amphiregulin-EGFR-ERK pathway mediates PM2.5 from wood smoke-induced MUC5AC expression in epithelial cells.,Huang_2017_Z4YJYGS2.pdf,from Zotero (resolved from DOI)
PMID:28978522,10.1152/ajpcell.00099.2017,Cigarette smoke activates CFTR through ROS-stimulated cAMP signaling in human bronchial epithelial cells.,Wong_2018_HH8UZDI2.pdf,from Zotero (resolved from DOI)
,,"1 Fine particulate matter exposure and Cystic Fibrosis morbidity in the age of CFTR modulators, 2 an observational study",Kelchtermans_noyear_BANE59CN.pdf,from Zotero (NO PMID FOUND — fix by hand)
,,PM2.5 toxin benzo[a]pyrene induces life-limiting inflammation and oxidative stress in the airway by up- regulation of TRPC6 and inactivation of 2AR/CFTR signaling,Caohuy_noyear_L2SCBWKS.pdf,from Zotero (NO PMID FOUND — fix by hand)
PMID:32275839,10.1165/rcmb.2019-0454OC,Genome-Wide Analysis Reveals Mucociliary Remodeling of the Nasal Airway Epithelium Induced by Urban PM(2.5),,seed paper already stubbed; not in Zotero CE587BRD collection (open access)
