curie,label,retrieved_at
NCBITaxon:10090,Mus musculus,2026-09-14T10:18:44.181729
NCBITaxon:10116,Rattus norvegicus,2026-09-17T21:17:17.697040
NCBITaxon:9606,Homo sapiens,2026-09-14T10:18:41.451623
