curie,label,retrieved_at
CHEBI:15422,ATP,2026-09-14T10:18:46.237997
CHEBI:18422,sulfur dioxide,2026-09-17T21:15:08.410146
CHEBI:45906,suramin,2026-09-14T10:20:07.273172
CHEBI:74481,N(2)-methylguanosine 5'-monophosphate(1-) residue,2026-09-14T10:18:42.138601
